dr0,0.00141421
r0,0.05
R,2
R/r0,40
Nr,300
Ntheta,222.144
Nboundary,223
Nfluid,66900
Nparticles,67123
Apolar,0.00848491
Bpolar,0.165968

ID,r,theta,x,y,Type
131,0.05,3.70524,-0.0422656,-0.0267136,boundary
132,0.05,3.73352,-0.0414932,-0.0278982,boundary
133,0.05,3.76181,-0.0406877,-0.0290605,boundary
134,0.05,3.79009,-0.0398495,-0.0301996,boundary
135,0.05,3.81838,-0.0389795,-0.0313145,boundary
136,0.05,3.84666,-0.0380784,-0.0324043,boundary
137,0.05,3.87495,-0.0371467,-0.0334682,boundary
138,0.05,3.90323,-0.0361854,-0.0345053,boundary
139,0.05,3.93151,-0.0351951,-0.0355149,boundary
140,0.05,3.9598,-0.0341766,-0.036496,boundary
141,0.05,3.98808,-0.0331308,-0.0374479,boundary
142,0.05,4.01637,-0.0320585,-0.0383699,boundary
143,0.05,4.04465,-0.0309606,-0.0392612,boundary
144,0.05,4.07294,-0.0298379,-0.0401211,boundary
145,0.05,4.10122,-0.0286913,-0.0409489,boundary
146,0.05,4.1295,-0.0275218,-0.0417439,boundary
147,0.05,4.15779,-0.0263302,-0.0425055,boundary
148,0.05,4.18607,-0.0251176,-0.0432332,boundary
149,0.05,4.21436,-0.0238849,-0.0439262,boundary
150,0.05,4.24264,-0.0226331,-0.0445841,boundary
151,0.05,4.27092,-0.0213632,-0.0452064,boundary
152,0.05,4.29921,-0.0200762,-0.0457924,boundary
153,0.05,4.32749,-0.0187731,-0.0463419,boundary
154,0.05,4.35578,-0.017455,-0.0468543,boundary
155,0.05,4.38406,-0.016123,-0.0473292,boundary
156,0.05,4.41235,-0.014778,-0.0477662,boundary
157,0.05,4.44063,-0.0134213,-0.048165,boundary
158,0.05,4.46891,-0.0120538,-0.0485253,boundary
159,0.05,4.4972,-0.0106766,-0.0488468,boundary
160,0.05,4.52548,-0.00929096,-0.0491292,boundary
161,0.05,4.55377,-0.00789785,-0.0493723,boundary
162,0.05,4.58205,-0.00649842,-0.0495759,boundary
163,0.05,4.61034,-0.00509379,-0.0497399,boundary
164,0.05,4.63862,-0.00368508,-0.049864,boundary
165,0.05,4.6669,-0.00227343,-0.0499483,boundary
166,0.05,4.69519,-0.000859955,-0.0499926,boundary
167,0.05,4.72347,0.000554205,-0.0499969,boundary
168,0.05,4.75176,0.00196792,-0.0499613,boundary
169,0.05,4.78004,0.00338006,-0.0498856,boundary
170,0.05,4.80833,0.0047895,-0.0497701,boundary
171,0.05,4.83661,0.00619511,-0.0496147,boundary
172,0.05,4.86489,0.00759576,-0.0494197,boundary
173,0.05,4.89318,0.00899034,-0.0491851,boundary
174,0.05,4.92146,0.0103777,-0.0489112,boundary
175,0.05,4.94975,0.0117568,-0.0485981,boundary
176,0.05,4.97803,0.0131265,-0.0482462,boundary
177,0.05,5.00632,0.0144857,-0.0478557,boundary
178,0.05,5.0346,0.0158332,-0.0474269,boundary
179,0.05,5.06288,0.0171682,-0.0469601,boundary
180,0.05,5.09117,0.0184894,-0.0464558,boundary
181,0.05,5.11945,0.0197958,-0.0459144,boundary
182,0.05,5.14774,0.0210863,-0.0453362,boundary
183,0.05,5.17602,0.02236,-0.0447217,boundary
184,0.05,5.20431,0.0236158,-0.0440715,boundary
185,0.05,5.23259,0.0248527,-0.043386,boundary
186,0.05,5.26087,0.0260698,-0.0426658,boundary
187,0.05,5.28916,0.027266,-0.0419114,boundary
188,0.05,5.31744,0.0284403,-0.0411236,boundary
189,0.05,5.34573,0.0295919,-0.0403028,boundary
190,0.05,5.37401,0.0307199,-0.0394498,boundary
191,0.05,5.4023,0.0318233,-0.0385653,boundary
192,0.05,5.43058,0.0329012,-0.0376499,boundary
193,0.05,5.45886,0.0339528,-0.0367043,boundary
194,0.05,5.48715,0.0349772,-0.0357295,boundary
195,0.05,5.51543,0.0359737,-0.034726,boundary
196,0.05,5.54372,0.0369414,-0.0336948,boundary
197,0.05,5.572,0.0378795,-0.0326366,boundary
198,0.05,5.60029,0.0387873,-0.0315523,boundary
199,0.05,5.62857,0.0396641,-0.0304427,boundary
200,0.05,5.65685,0.0405092,-0.0293088,boundary
201,0.05,5.68514,0.0413218,-0.0281515,boundary
202,0.05,5.71342,0.0421015,-0.0269716,boundary
203,0.05,5.74171,0.0428474,-0.0257702,boundary
204,0.05,5.76999,0.043559,-0.0245481,boundary
205,0.05,5.79828,0.0442359,-0.0233064,boundary
206,0.05,5.82656,0.0448773,-0.0220461,boundary
207,0.05,5.85484,0.0454828,-0.0207681,boundary
208,0.05,5.88313,0.0460519,-0.0194735,boundary
209,0.05,5.91141,0.0465842,-0.0181634,boundary
210,0.05,5.9397,0.0470793,-0.0168387,boundary
211,0.05,5.96798,0.0475367,-0.0155005,boundary
212,0.05,5.99627,0.047956,-0.01415,boundary
213,0.05,6.02455,0.048337,-0.0127881,boundary
214,0.05,6.05283,0.0486793,-0.011416,boundary
215,0.05,6.08112,0.0489827,-0.0100347,boundary
216,0.05,6.1094,0.0492469,-0.00864547,boundary
217,0.05,6.13769,0.0494717,-0.00724928,boundary
218,0.05,6.16597,0.0496569,-0.0058473,boundary
219,0.05,6.19426,0.0498024,-0.00444064,boundary
220,0.05,6.22254,0.0499081,-0.00303042,boundary
221,0.05,6.25082,0.0499738,-0.00161779,boundary
222,0.05,6.27911,0.0499996,-0.000203854,boundary
223,0.0514142,0,0.0514142,0,fluid
224,0.0514142,0.0282843,0.0513936,0.00145402,fluid
225,0.0514142,0.0565685,0.051332,0.00290688,fluid
226,0.0514142,0.0848528,0.0512292,0.00435741,fluid
227,0.0514142,0.113137,0.0510855,0.00580445,fluid
228,0.0514142,0.141421,0.0509009,0.00724686,fluid
229,0.0514142,0.169706,0.0506756,0.00868346,fluid
230,0.0514142,0.19799,0.0504098,0.0101131,fluid
231,0.0514142,0.226274,0.0501036,0.0115347,fluid
232,0.0514142,0.254558,0.0497574,0.012947,fluid
233,0.0514142,0.282843,0.0493713,0.014349,fluid
234,0.0514142,0.311127,0.0489458,0.0157395,fluid
235,0.0514142,0.339411,0.0484811,0.0171174,fluid
236,0.0514142,0.367696,0.0479776,0.0184817,fluid
237,0.0514142,0.39598,0.0474357,0.0198311,fluid
238,0.0514142,0.424264,0.0468559,0.0211647,fluid
239,0.0514142,0.452548,0.0462386,0.0224813,fluid
240,0.0514142,0.480833,0.0455844,0.02378,fluid
241,0.0514142,0.509117,0.0448936,0.0250596,fluid
242,0.0514142,0.537401,0.044167,0.0263192,fluid
243,0.0514142,0.565685,0.043405,0.0275577,fluid
244,0.0514142,0.59397,0.0426083,0.0287742,fluid
245,0.0514142,0.622254,0.0417775,0.0299677,fluid
246,0.0514142,0.650538,0.0409133,0.0311372,fluid
247,0.0514142,0.678823,0.0400163,0.0322818,fluid
248,0.0514142,0.707107,0.0390874,0.0334006,fluid
249,0.0514142,0.735391,0.0381272,0.0344926,fluid
250,0.0514142,0.763675,0.0371364,0.0355571,fluid
251,0.0514142,0.79196,0.036116,0.0365931,fluid
252,0.0514142,0.820244,0.0350667,0.0375998,fluid
253,0.0514142,0.848528,0.0339893,0.0385765,fluid
254,0.0514142,0.876812,0.0328848,0.0395223,fluid
255,0.0514142,0.905097,0.0317539,0.0404365,fluid
256,0.0514142,0.933381,0.0305976,0.0413183,fluid
257,0.0514142,0.961665,0.0294169,0.0421671,fluid
258,0.0514142,0.989949,0.0282126,0.0429822,fluid
259,0.0514142,1.01823,0.0269858,0.0437629,fluid
260,0.0514142,1.04652,0.0257374,0.0445085,fluid
261,0.0514142,1.0748,0.0244683,0.0452186,fluid
262,0.0514142,1.10309,0.0231797,0.0458925,fluid
263,0.0514142,1.13137,0.0218726,0.0465297,fluid
264,0.0514142,1.15966,0.020548,0.0471296,fluid
265,0.0514142,1.18794,0.0192069,0.0476919,fluid
266,0.0514142,1.21622,0.0178505,0.048216,fluid
267,0.0514142,1.24451,0.0164798,0.0487015,fluid
268,0.0514142,1.27279,0.0150959,0.0491481,fluid
269,0.0514142,1.30108,0.0136999,0.0495554,fluid
270,0.0514142,1.32936,0.012293,0.049923,fluid
271,0.0514142,1.35765,0.0108762,0.0502507,fluid
272,0.0514142,1.38593,0.00945075,0.0505382,fluid
273,0.0514142,1.41421,0.00801772,0.0507852,fluid
274,0.0514142,1.4425,0.00657828,0.0509916,fluid
275,0.0514142,1.47078,0.00513358,0.0511573,fluid
276,0.0514142,1.49907,0.00368478,0.051282,fluid
277,0.0514142,1.52735,0.00223302,0.0513657,fluid
278,0.0514142,1.55563,0.000779482,0.0514083,fluid
279,0.0514142,1.58392,-0.000674682,0.0514098,fluid
280,0.0514142,1.6122,-0.00212831,0.0513701,fluid
281,0.0514142,1.64049,-0.00358023,0.0512894,fluid
282,0.0514142,1.66877,-0.00502929,0.0511676,fluid
283,0.0514142,1.69706,-0.00647432,0.0510049,fluid
284,0.0514142,1.72534,-0.00791418,0.0508014,fluid
285,0.0514142,1.75362,-0.0093477,0.0505573,fluid
286,0.0514142,1.78191,-0.0107738,0.0502727,fluid
287,0.0514142,1.81019,-0.0121912,0.0499479,fluid
288,0.0514142,1.83848,-0.0135989,0.0495832,fluid
289,0.0514142,1.86676,-0.0149957,0.0491788,fluid
290,0.0514142,1.89505,-0.0163805,0.048735,fluid
291,0.0514142,1.92333,-0.0177522,0.0482523,fluid
292,0.0514142,1.95161,-0.0191097,0.0477309,fluid
293,0.0514142,1.9799,-0.0204519,0.0471714,fluid
294,0.0514142,2.00818,-0.0217777,0.0465742,fluid
295,0.0514142,2.03647,-0.0230861,0.0459396,fluid
296,0.0514142,2.06475,-0.0243761,0.0452684,fluid
297,0.0514142,2.09304,-0.0256466,0.0445609,fluid
298,0.0514142,2.12132,-0.0268965,0.0438178,fluid
299,0.0514142,2.1496,-0.0281249,0.0430396,fluid
300,0.0514142,2.17789,-0.0293309,0.042227,fluid
301,0.0514142,2.20617,-0.0305134,0.0413806,fluid
302,0.0514142,2.23446,-0.0316714,0.0405011,fluid
303,0.0514142,2.26274,-0.0328041,0.0395893,fluid
304,0.0514142,2.29103,-0.0339106,0.0386457,fluid
305,0.0514142,2.31931,-0.03499,0.0376712,fluid
306,0.0514142,2.34759,-0.0360413,0.0366666,fluid
307,0.0514142,2.37588,-0.0370639,0.0356327,fluid
308,0.0514142,2.40416,-0.0380568,0.0345703,fluid
309,0.0514142,2.43245,-0.0390192,0.0334802,fluid
310,0.0514142,2.46073,-0.0399504,0.0323633,fluid
311,0.0514142,2.48902,-0.0408497,0.0312205,fluid
312,0.0514142,2.5173,-0.0417163,0.0300528,fluid
313,0.0514142,2.54558,-0.0425495,0.028861,fluid
314,0.0514142,2.57387,-0.0433487,0.0276462,fluid
315,0.0514142,2.60215,-0.0441132,0.0264092,fluid
316,0.0514142,2.63044,-0.0448424,0.0251511,fluid
317,0.0514142,2.65872,-0.0455358,0.0238729,fluid
318,0.0514142,2.68701,-0.0461927,0.0225755,fluid
319,0.0514142,2.71529,-0.0468127,0.0212601,fluid
320,0.0514142,2.74357,-0.0473952,0.0199278,fluid
321,0.0514142,2.77186,-0.0479398,0.0185794,fluid
322,0.0514142,2.80014,-0.0484461,0.0172162,fluid
323,0.0514142,2.82843,-0.0489136,0.0158393,fluid
324,0.0514142,2.85671,-0.049342,0.0144496,fluid
325,0.0514142,2.885,-0.0497309,0.0130484,fluid
326,0.0514142,2.91328,-0.05008,0.0116368,fluid
327,0.0514142,2.94156,-0.0503891,0.0102159,fluid
328,0.0514142,2.96985,-0.0506578,0.00878675,fluid
329,0.0514142,2.99813,-0.050886,0.0073506,fluid
330,0.0514142,3.02642,-0.0510736,0.00590858,fluid
331,0.0514142,3.0547,-0.0512202,0.00446183,fluid
332,0.0514142,3.08299,-0.0513259,0.00301151,fluid
333,0.0514142,3.11127,-0.0513906,0.00155878,fluid
334,0.0514142,3.13955,-0.0514141,0.00010481,fluid
335,0.0514142,3.16784,-0.0513965,-0.00134925,fluid
336,0.0514142,3.19612,-0.0513378,-0.00280223,fluid
337,0.0514142,3.22441,-0.051238,-0.00425297,fluid
338,0.0514142,3.25269,-0.0510972,-0.0057003,fluid
339,0.0514142,3.28098,-0.0509156,-0.00714308,fluid
340,0.0514142,3.30926,-0.0506932,-0.00858014,fluid
341,0.0514142,3.33754,-0.0504303,-0.0100103,fluid
342,0.0514142,3.36583,-0.050127,-0.0114325,fluid
343,0.0514142,3.39411,-0.0497837,-0.0128456,fluid
344,0.0514142,3.4224,-0.0494005,-0.0142483,fluid
345,0.0514142,3.45068,-0.0489778,-0.0156397,fluid
346,0.0514142,3.47897,-0.0485159,-0.0170186,fluid
347,0.0514142,3.50725,-0.0480152,-0.0183838,fluid
348,0.0514142,3.53553,-0.0474761,-0.0197344,fluid
349,0.0514142,3.56382,-0.046899,-0.0210691,fluid
350,0.0514142,3.5921,-0.0462844,-0.022387,fluid
351,0.0514142,3.62039,-0.0456327,-0.023687,fluid
352,0.0514142,3.64867,-0.0449446,-0.024968,fluid
353,0.0514142,3.67696,-0.0442205,-0.0262291,fluid
354,0.0514142,3.70524,-0.0434611,-0.0274692,fluid
355,0.0514142,3.73352,-0.0426668,-0.0286873,fluid
356,0.0514142,3.76181,-0.0418385,-0.0298825,fluid
357,0.0514142,3.79009,-0.0409767,-0.0310537,fluid
358,0.0514142,3.81838,-0.0400821,-0.0322002,fluid
359,0.0514142,3.84666,-0.0391554,-0.0333208,fluid
360,0.0514142,3.87495,-0.0381974,-0.0344148,fluid
361,0.0514142,3.90323,-0.0372088,-0.0354813,fluid
362,0.0514142,3.93151,-0.0361905,-0.0365194,fluid
363,0.0514142,3.9598,-0.0351433,-0.0375283,fluid
364,0.0514142,3.98808,-0.0340679,-0.0385071,fluid
365,0.0514142,4.01637,-0.0329653,-0.0394552,fluid
366,0.0514142,4.04465,-0.0318363,-0.0403717,fluid
367,0.0514142,4.07294,-0.0306818,-0.0412559,fluid
368,0.0514142,4.10122,-0.0295028,-0.0421071,fluid
369,0.0514142,4.1295,-0.0283002,-0.0429246,fluid
370,0.0514142,4.15779,-0.0270749,-0.0437078,fluid
371,0.0514142,4.18607,-0.025828,-0.044456,fluid
372,0.0514142,4.21436,-0.0245605,-0.0451686,fluid
373,0.0514142,4.24264,-0.0232733,-0.0458451,fluid
374,0.0514142,4.27092,-0.0219674,-0.046485,fluid
375,0.0514142,4.29921,-0.020644,-0.0470876,fluid
376,0.0514142,4.32749,-0.0193041,-0.0476526,fluid
377,0.0514142,4.35578,-0.0179487,-0.0481795,fluid
378,0.0514142,4.38406,-0.016579,-0.0486678,fluid
379,0.0514142,4.41235,-0.015196,-0.0491172,fluid
380,0.0514142,4.44063,-0.0138009,-0.0495273,fluid
381,0.0514142,4.46891,-0.0123947,-0.0498978,fluid
382,0.0514142,4.4972,-0.0109786,-0.0502284,fluid
383,0.0514142,4.52548,-0.00955375,-0.0505188,fluid
384,0.0514142,4.55377,-0.00812123,-0.0507688,fluid
385,0.0514142,4.58205,-0.00668222,-0.0509781,fluid
386,0.0514142,4.61034,-0.00523786,-0.0511467,fluid
387,0.0514142,4.63862,-0.00378931,-0.0512744,fluid
388,0.0514142,4.6669,-0.00233773,-0.051361,fluid
389,0.0514142,4.69519,-0.000884278,-0.0514066,fluid
390,0.0514142,4.72347,0.00056988,-0.0514111,fluid
391,0.0514142,4.75176,0.00202358,-0.0513744,fluid
392,0.0514142,4.78004,0.00347567,-0.0512966,fluid
393,0.0514142,4.80833,0.00492497,-0.0511778,fluid
394,0.0514142,4.83661,0.00637033,-0.051018,fluid
395,0.0514142,4.86489,0.0078106,-0.0508175,fluid
396,0.0514142,4.89318,0.00924462,-0.0505763,fluid
397,0.0514142,4.92146,0.0106712,-0.0502946,fluid
398,0.0514142,4.94975,0.0120893,-0.0499727,fluid
399,0.0514142,4.97803,0.0134977,-0.0496108,fluid
400,0.0514142,5.00632,0.0148954,-0.0492092,fluid
401,0.0514142,5.0346,0.0162811,-0.0487683,fluid
402,0.0514142,5.06288,0.0176538,-0.0482884,fluid
403,0.0514142,5.09117,0.0190123,-0.0477698,fluid
404,0.0514142,5.11945,0.0203557,-0.047213,fluid
405,0.0514142,5.14774,0.0216827,-0.0466185,fluid
406,0.0514142,5.17602,0.0229924,-0.0459866,fluid
407,0.0514142,5.20431,0.0242838,-0.045318,fluid
408,0.0514142,5.23259,0.0255557,-0.0446131,fluid
409,0.0514142,5.26087,0.0268071,-0.0438725,fluid
410,0.0514142,5.28916,0.0280372,-0.0430969,fluid
411,0.0514142,5.31744,0.0292447,-0.0422867,fluid
412,0.0514142,5.34573,0.0304289,-0.0414427,fluid
413,0.0514142,5.37401,0.0315888,-0.0405656,fluid
414,0.0514142,5.4023,0.0327234,-0.0396561,fluid
415,0.0514142,5.43058,0.0338318,-0.0387148,fluid
416,0.0514142,5.45886,0.0349131,-0.0377425,fluid
417,0.0514142,5.48715,0.0359665,-0.03674,fluid
418,0.0514142,5.51543,0.0369912,-0.0357082,fluid
419,0.0514142,5.54372,0.0379862,-0.0346478,fluid
420,0.0514142,5.572,0.0389509,-0.0335597,fluid
421,0.0514142,5.60029,0.0398844,-0.0324447,fluid
422,0.0514142,5.62857,0.040786,-0.0313038,fluid
423,0.0514142,5.65685,0.041655,-0.0301378,fluid
424,0.0514142,5.68514,0.0424906,-0.0289477,fluid
425,0.0514142,5.71342,0.0432923,-0.0277345,fluid
426,0.0514142,5.74171,0.0440593,-0.0264991,fluid
427,0.0514142,5.76999,0.0447911,-0.0252424,fluid
428,0.0514142,5.79828,0.045487,-0.0239656,fluid
429,0.0514142,5.82656,0.0461466,-0.0226696,fluid
430,0.0514142,5.85484,0.0467692,-0.0213555,fluid
431,0.0514142,5.88313,0.0473545,-0.0200243,fluid
432,0.0514142,5.91141,0.0479018,-0.0186771,fluid
433,0.0514142,5.9397,0.0484109,-0.017315,fluid
434,0.0514142,5.96798,0.0488812,-0.0159389,fluid
435,0.0514142,5.99627,0.0493124,-0.0145502,fluid
436,0.0514142,6.02455,0.0497042,-0.0131498,fluid
437,0.0514142,6.05283,0.0500562,-0.0117389,fluid
438,0.0514142,6.08112,0.0503681,-0.0103186,fluid
439,0.0514142,6.1094,0.0506398,-0.00889,fluid
440,0.0514142,6.13769,0.050871,-0.00745432,fluid
441,0.0514142,6.16597,0.0510614,-0.00601268,fluid
442,0.0514142,6.19426,0.051211,-0.00456624,fluid
443,0.0514142,6.22254,0.0513197,-0.00311614,fluid
444,0.0514142,6.25082,0.0513873,-0.00166354,fluid
445,0.0514142,6.27911,0.0514138,-0.00020962,fluid
446,0.0528405,0,0.0528405,0,fluid
447,0.0528405,0.0282843,0.0528193,0.00149436,fluid
448,0.0528405,0.0565685,0.052756,0.00298751,fluid
449,0.0528405,0.0848528,0.0526504,0.00447828,fluid
450,0.0528405,0.113137,0.0525027,0.00596547,fluid
451,0.0528405,0.141421,0.052313,0.00744789,fluid
452,0.0528405,0.169706,0.0520814,0.00892435,fluid
453,0.0528405,0.19799,0.0518082,0.0103937,fluid
454,0.0528405,0.226274,0.0514935,0.0118547,fluid
455,0.0528405,0.254558,0.0511377,0.0133062,fluid
456,0.0528405,0.282843,0.0507409,0.0147471,fluid
457,0.0528405,0.311127,0.0503036,0.0161761,fluid
458,0.0528405,0.339411,0.049826,0.0175923,fluid
459,0.0528405,0.367696,0.0493085,0.0189944,fluid
460,0.0528405,0.39598,0.0487516,0.0203812,fluid
461,0.0528405,0.424264,0.0481557,0.0217518,fluid
462,0.0528405,0.452548,0.0475213,0.023105,fluid
463,0.0528405,0.480833,0.0468489,0.0244396,fluid
464,0.0528405,0.509117,0.046139,0.0257548,fluid
465,0.0528405,0.537401,0.0453922,0.0270493,fluid
466,0.0528405,0.565685,0.0446091,0.0283222,fluid
467,0.0528405,0.59397,0.0437903,0.0295724,fluid
468,0.0528405,0.622254,0.0429364,0.030799,fluid
469,0.0528405,0.650538,0.0420482,0.032001,fluid
470,0.0528405,0.678823,0.0411264,0.0331773,fluid
471,0.0528405,0.707107,0.0401717,0.0343271,fluid
472,0.0528405,0.735391,0.0391848,0.0354495,fluid
473,0.0528405,0.763675,0.0381666,0.0365435,fluid
474,0.0528405,0.79196,0.0371179,0.0376082,fluid
475,0.0528405,0.820244,0.0360395,0.0386429,fluid
476,0.0528405,0.848528,0.0349322,0.0396466,fluid
477,0.0528405,0.876812,0.033797,0.0406187,fluid
478,0.0528405,0.905097,0.0326348,0.0415582,fluid
